imdbID,Title,Actors,Genre,Country,Language,Production,Rated,Runtime,Year,imdbRating,Responsibility,popularity2,totalVotes,budget2
tt1174732,An Education, Cara Seymour,Drama,UK,English,Sony Classics,PG-13,100,2009,7.3,memoir,10.691,704,26096852
tt0139462,Message in a Bottle, John Savage,Drama,USA,English,Warner Bros.,PG-13,126,1999,6.2,novel,21.448,373,118880016
tt0277434,We Were Soldiers, Sam Elliott,Action,USA,English,Paramount Pictures,R,138,2002,7.2,book,14.538,846,114660784
tt2361317,Live by Night, Brendan Gleeson,Action,Spain,Spanish,Warner Bros.,R,129,2016,6.4,screenplay,8.066,751,22678555
tt0106519,Carlito's Way, John Leguizamo,Crime,USA,English,MCA Universal Home Video,R,144,1993,7.9,novels,12.644,1423,36516012
tt0091149,The Great Mouse Detective, Susanne Pollatschek,Animation,France,French,Walt Disney Pictures,G,74,1986,7.2,adaptation,33.142,744,38625550
tt2404311,The Family, John D'Leo,Comedy,USA,English,Relativity Media,R,167,2013,6.3,screenplay,12.056,1623,36894225
tt2024469,Non-Stop, Michelle Dockery,Action,UK,English,Universal Pictures,PG-13,106,2014,7,screenplay,12.239,3290,222809600
tt0094678,Arthur 2: On the Rocks, Geraldine Fitzgerald,Comedy,USA,English,Warner Bros.,PG,113,1988,4.3,characters,5.252,64,14681192
tt0086993,The Bounty, Edward Fox,Action,UK,English,MGM,PG,132,1984,7.1,book,8.415,205,8613462
tt1961175,American Assassin, Chris Webster,Action,USA,English,Lionsgate ,R,177,2017,4.6,screenplay,13.803,1572,66167951
tt0084917,The World According to Garp, John Lithgow,Comedy,USA,English,Warner Bros.,R,136,1982,7.2,novel,7.816,141,29712172
tt0116136,DragonHeart, Dina Meyer,Action,USA,English,MCA Universal Home Video,PG-13,103,1996,6.4,story,44,1019,115267375
tt0118829,Cats Don't Dance, Ashley Peldon,Animation,USA,English,Warner Bros.,G,75,1997,6.9,story,6.293,53,3566637
tt0101921,Fried Green Tomatoes, Jessica Tandy,Drama,USA,English,Universal Pictures,PG-13,130,1991,7.7,novel,9.361,608,119418501
tt0114108,The Pebble and the Penguin, Tim Curry,Animation,USA,English,MGM,G,74,1995,5.6,screenplay,4.09,51,3983912
tt0257106,Scary Movie 2, Suzanne Bianqui,Comedy,Canada,English,Dimension Films,R,83,2001,5.3,characters,17.886,2196,141220678
tt0119640,McHale's Navy, David Alan Grier,Action,USA,English,Universal Pictures,PG,205,1997,4.4,story,2.718,37,4529843
tt0486583,Fred Claus, Miranda Richardson,Comedy,USA,English,Warner Bros.,PG,116,2007,5.6,screenplay,28.882,405,97838349
tt0118617,Anastasia, Christopher Lloyd,Animation,USA,English,20th Century Fox,G,94,1997,7.1,screenplay,15.257,3029,139804348
tt0122541,An Ideal Husband, Cate Blanchett,Comedy,UK,English,Miramax Films,PG-13,97,1999,6.9,play,6.856,91,18535191
tt0099044,Another 48 Hrs., Kevin Tighe,Action,USA,English,Paramount Home Video,R,93,1990,5.8,characters,9.525,337,153518974
tt2909116,Wolf Totem, Zhusheng Yin,Adventure,China,Mandarin,Sony Pictures,PG-13,121,2015,5.5,book,7.434,211,123205624
tt1449283,Winnie the Pooh, Craig Ferguson,Animation,USA,English,Walt Disney Pictures,G,63,2011,7.2,story,46.77,439,14460000
tt0108000,Ruby in Paradise, Allison Dean,Drama,USA,English,October Films,R,114,1993,3.9,book,1.327,12,1001437
tt1714203,Piranha 3DD, Jean-Luc Bilodeau,Comedy,USA,English,The Weinstein Co.,R,83,2012,3.8,characters,26.727,498,8493728
tt0134084,Scream 3, Kelly Rutherford,Horror,USA,English,Dimension Films,R,190,2000,5.5,characters,10.111,1400,161834276
tt1600196,The Drop, Matthias Schoenaerts,Crime,USA,English,Fox Searchlight,R,186,2014,7.1,screenplay,17.104,1205,19054534
tt0327084,Over the Hedge, Wanda Sykes,Animation,USA,English,Dreamworks,PG,83,2006,5.6,screenplay,15.43,2260,343397247
tt1305591,Mars Needs Moms, Elisabeth Harnois,Animation,USA,English,Walt Disney Pictures,PG,88,2011,5.4,screenplay,8.327,293,38992758
tt0219653,Dracula 2000, Justine Waddell,Action,USA,English,Miramax,R,99,2000,4.9,story,28.987,275,33000337
tt0279111,Gods and Generals, Keith Allison,Biography,USA,English,Warner Bros.,PG-13,219,2003,6.3,book,6.48,78,12923936
tt0462396,The Last Legion, Peter Mullan,Action,UK,English,The Weinstein Co.,PG-13,188,2007,5.4,screenplay,32.748,393,25303038
tt1554091,A Better Life, José Julián,Drama,USA,English,Summit Entertainment,PG-13,98,2011,7.2,screenplay,4.537,95,1759252
tt0108517,Warlock: The Armageddon, Joanna Pacula,Action,USA,English,Republic Pictures Home Video,R,98,1993,5.4,characters,55,56,3902679
tt1592525,Lockout, Joseph Gilgun,Action,France,French,FilmDistrict,PG-13,95,2012,7.4,screenplay,11.109,993,32204030
tt0085891,The Man Who Loved Women, Marilu Henner,Comedy,USA,English,Sony Pictures Entertainment,R,215,1983,5.1,screenplay,1.305,13,11000000
tt2296935,The Legend of Sarila, Tim Rozon,Animation,Canada,English,Phase 4 Films,TV-G,80,2013,5.1,english adaptation,2.987,13,15000000
tt0382628,Dark Water, Dougray Scott,Drama,USA,English,Buena Vista,PG-13,105,2005,5.6,novel,10.016,463,25473093
tt0463872,Asterix at the Olympic Games, Alain Delon,Adventure,Italy,French,Pathé Distribution,NOT RATED,222,2008,5.1,comic,69,79,1123311
tt2980516,The Theory of Everything, Sophie Perry,Biography,Japan,Japanese,Focus Features,PG-13,123,2014,7.7,screenplay,13.671,6320,123726688
tt1621045,Think Like a Man, Regina Hall,Comedy,USA,English,Sony Pictures Entertainment,PG-13,122,2012,7.9,screenplay,23.824,435,96070507
tt0192731,Urban Legends: Final Cut, Loretta Devine,Horror,France,English,Sony Pictures Entertainment,R,97,2000,4.2,characters,7.62,199,38574362
tt0091671,From a Whisper to a Scream, Harry Caesar,Action,USA,English,Conquest Entertainment,R,99,1987,6,story,2.134,28,1400000
tt0762114,License to Wed, Eric Christian Olsen,Comedy,Australia,English,Warner Bros.,PG-13,91,2007,5.3,screenplay,44.56,496,69307224
tt0473705,State of Play, Helen Mirren,Action,France,French,Universal Pictures,PG-13,165,2009,7.1,screenplay,11.077,810,87784194
tt3544112,Sing Street, Jack Reynor,Comedy,Ireland,Latin,Likely Story,PG-13,106,2016,8,story,9.931,1185,13624522
tt0160484,Lost Souls, Philip Baker Hall,Drama,USA,English,New Line Cinema,R,97,2000,4.8,story,5.574,70,31355910
tt2091256,Captain Underpants: The First Epic Movie, Thomas Middleditch,Animation,India,English,20th Century Fox,PG,89,2017,4.6,screenplay,12.349,572,125289450
tt0099991,The Last of the Finest, Bill Paxton,Action,USA,English,Orion Home Video,R,106,1990,5.6,story,4.018,9,1531489
tt0105824,Wind, Jack Thompson,Action,Japan,English,Sony Pictures Entertainment,PG-13,126,1992,6.5,story,2.498,11,5519569
tt0430922,Role Models, Bobb'e J. Thompson,Comedy,Germany,English,Universal Pictures,R,99,2008,6.9,story,75.66,894,92380927
tt0372183,The Bourne Supremacy, Julia Stiles,Action,Germany,German,Universal Pictures,PG-13,108,2004,7.8,novel,17.464,4300,288500217
